Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
RHYSLING|3,70|26,10|0,1|0,1|
RICCIOLI|-74,42|-2,90|146,0|146,0|?
RICCIOLI C|-73,20|0,58|31,0|31,0|?
RICCIOLI CA|-73,15|0,64|14,0|14,0|?
RICCIOLI F|-73,89|-8,73|28,0|28,0|?
RICCIOLI G|-71,15|-1,27|15,0|15,0|?
RICCIOLI H|-75,04|1,12|18,0|18,0|?
RICCIOLI K|-77,63|-2,32|43,0|43,0|?
RICCIOLI U|-72,95|-5,79|9,0|9,0|?
RICCIOLI Y|-73,35|-3,04|7,0|7,0|?
RICCIUS|26,43|-37,02|71,0|71,0|?
RICCIUS A|27,21|-35,89|24,0|24,0|?
RICCIUS B|27,70|-37,62|19,0|19,0|?
RICCIUS C|28,77|-36,24|24,0|24,0|?
RICCIUS D|28,87|-40,40|17,0|17,0|?
RICCIUS E|26,38|-39,96|23,0|23,0|3500
RICCIUS G|24,44|-38,56|13,0|13,0|?
RICCIUS H|26,07|-35,36|20,0|20,0|?
RICCIUS J|26,00|-40,76|13,0|13,0|?
RICCIUS K|25,62|-39,17|6,0|6,0|?
RICCIUS L|26,83|-41,55|8,0|8,0|?
RICCIUS M|26,50|-37,90|14,0|14,0|?
RICCIUS N|27,57|-41,21|13,0|13,0|?
RICCIUS O|27,68|-36,19|9,0|9,0|?
RICCIUS P|28,04|-35,73|11,0|11,0|?
RICCIUS R|30,66|-41,44|7,0|7,0|?
RICCIUS S|26,47|-37,15|11,0|11,0|?
RICCIUS T|24,97|-36,34|7,0|7,0|?
RICCIUS W|25,17|-38,95|19,0|19,0|?
RICCIUS X|26,59|-38,84|11,0|11,0|?
RICCIUS Y|29,11|-35,85|10,0|10,0|?
RIEMANN B|85,56|41,41|24,0|24,0|?
RIMA AGATHARCHIDES|-28,56|-20,38|50,0|2,0|?
RIMA AGRICOLA|-53,42|29,25|125,1|125,1|
RIMA ARIADAEUS|13,44|6,48|220,0|7,0|480
RIMA ARTSIMOVICH|-38,65|26,66|68,1|68,1|
RIMA BIRT|-9,28|-21,40|50,0|1,5|?
RIMA BRADLEY|-0,60|24,17|130,0|3,0|?
RIMA CARDANUS|-71,14|11,32|121,0|1,5|?
RIMA CARMEN|29,30|19,95|15,0|15,0|
RIMA CAUCHY|38,07|10,42|210,0|4,0|?
RIMA CLEOMEDES|56,51|27,98|60,0|2,5|?
RIMA CLEOPATRA|-53,80|30,03|14,7|14,7|
RIMA CONON|1,85|18,69|45,0|2,0|?
RIMA DAWES|26,63|17,58|15,0|15,0|
RIMA DRAPER|-25,37|17,37|244,2|244,2|
RIMA EULER|-30,31|21,08|105,0|105,0|
RIMA FLAMMARION|-4,67|-2,38|49,7|49,7|
RIMA FURNERIUS|61,17|-35,30|65,9|65,9|
RIMA G BOND|35,25|32,86|150,0|3,0|?
RIMA GALILAEI|-59,20|12,91|180,0|0,5|?
RIMA GARTNER|35,77|58,84|30,0|2,0|?
RIMA GAY-LUSSAC|-22,33|13,18|40,0|2,0|?
RIMA HADLEY|3,15|25,72|80,0|2,5|400
RIMA HANSTEEN|-52,99|-12,09|25,0|3,0|?
RIMA HESIODUS|-21,85|-30,54|300,0|3,0|?
RIMA HYGINUS|6,77|7,62|220,0|4,0|?
RIMA JANSEN|29,51|14,50|35,0|2,0|?
RIMA KRIEGER|-46,26|29,29|22,6|22,6|
RIMA MARCELLO|27,74|18,59|4,0|4,0|
RIMA MARIUS|-49,54|16,37|250,0|2,0|?
RIMA MESSIER|44,55|-0,76|80,0|1,0|?
RIMA OPPOLZER|1,28|-1,53|110,0|2,0|?
RIMA REAUMUR|2,47|-2,84|45,0|1,5|?
RIMA REIKO|27,71|18,55|4,3|4,3|
RIMA RUDOLF|29,62|19,71|8,3|8,3|
RIMA SCHROTER|-6,25|1,28|40,0|1,5|?
RIMA SHARP|-50,36|46,02|210,0|0,3|?
RIMA SUNG MEI|11,28|24,59|3,9|3,9|
RIMA T MAYER|-31,37|13,26|67,8|67,8|
RIMA VLADIMIR|-0,75|25,20|10,5|10,5|
RIMA WAN YU|-31,43|19,98|13,7|13,7|
RIMA YANGEL|4,79|16,62|30,4|30,4|
RIMA ZAHIA|-30,46|25,02|15,2|15,2|
RIMAE ALPHONSUS|-1,94|-13,40|150,0|1,0|?
RIMAE APOLLONIUS|54,33|4,39|89,6|89,6|
RIMAE ARISTARCHUS|-47,25|27,52|160,0|1,5|?
RIMAE ARZACHEL|-1,38|-18,31|50,0|3,0|?
RIMAE ATLAS|44,42|46,82|80,0|3,0|?
RIMAE BODE|-3,22|9,54|80,0|2,0|?
RIMAE BURG|25,27|44,70|100,0|3,0|?
RIMAE CHACORNAC|31,24|29,01|120,0|2,0|?
RIMAE DANIELL|24,33|37,53|200,0|3,0|?
RIMAE DARWIN|-66,66|-19,84|280,0|2,0|?
RIMAE DE GASPARIS|-50,30|-24,99|130,0|3,0|?
RIMAE DOPPELMAYER|-44,53|-26,23|130,0|1,5|?
RIMAE FOCAS|-97,54|-27,68|61,0|61,0|
RIMAE FRESNEL|3,73|28,11|90,0|4,0|?
RIMAE GASSENDI|-39,87|-17,47|150,0|3,0|?
RIMAE GERARD|-84,36|45,54|110,0|110,0|
RIMAE GOCLENIUS|42,88|-7,84|240,0|3,0|?
RIMAE GRIMALDI|-63,90|-6,18|230,0|2,0|?
RIMAE GUTENBERG|36,42|-4,42|330,0|2,0|?
RIMAE HASE|67,78|-34,71|300,0|4,0|?
RIMAE HEVELIUS|-66,38|0,81|190,0|1,5|?
RIMAE HIPPALUS|-29,36|-25,60|240,0|4,0|?
RIMAE HYPATIA|22,78|-0,34|180,0|4,0|?
RIMAE JANSSEN|39,26|-45,80|140,0|3,0|?
RIMAE KOPFF|-88,10|-14,68|250,0|250,0|
RIMAE LITTROW|30,47|22,47|165,0|165,0|
RIMAE MACLEAR|19,90|12,23|100,0|2,0|?
RIMAE MAESTLIN|-40,48|2,88|80,0|1,5|?
RIMAE MENELAUS|17,77|17,10|140,0|1,5|?
RIMAE MERSENIUS|-46,53|-20,69|230,0|2,0|?
RIMAE OPELT|-18,14|-13,64|70,0|2,0|?
RIMAE PALMIERI|-47,17|-27,83|150,0|2,0|?
RIMAE PARRY|-16,52|-8,07|300,0|1,5|?
RIMAE PETAVIUS|60,48|-25,23|80,0|2,0|?
RIMAE PETTIT|-93,63|-25,22|320,0|320,0|
RIMAE PITATUS|-13,62|-29,84|100,0|1,0|?
RIMAE PLATO|-3,02|50,88|0,0|2,0|?
RIMAE PLINIUS|23,14|17,05|120,0|3,0|?
RIMAE POSIDONIUS|29,61|32,03|80,0|2,0|?
RIMAE PRINZ|-43,51|27,05|80,0|1,5|?
RIMAE RAMSDEN|-31,32|-32,93|130,0|2,0|?
RIMAE RICCIOLI|-73,07|-1,52|390,0|1,5|?
RIMAE RITTER|17,97|3,50|100,0|3,0|?
RIMAE ROMER|34,86|26,98|110,0|4,0|?
RIMAE SECCHI|44,08|0,99|40,0|3,0|?
RIMAE SIRSALIS|-61,36|-15,01|300,0|3,0|?
RIMAE SOSIGENES|18,72|8,08|150,0|2,0|?
RIMAE SULPICIUS GALLUS|9,99|20,65|90,0|2,0|?
RIMAE TARUNTIUS|46,83|5,83|35,0|35,0|
RIMAE TRIESNECKER|4,83|5,10|200,0|2,0|?
RIMAE VASCO DA GAMA|-84,03|11,55|10,4|10,4|
Riphaeus 1|-26,25|-5,74|23,0|23,0|?
RITCHEY|8,48|-11,13|25,0|25,0|1300
RITCHEY A|7,74|-11,34|6,0|6,0|?
RITCHEY B|8,93|-11,98|7,0|7,0|?
RITCHEY C|9,18|-10,95|6,0|6,0|?
RITCHEY D|9,21|-10,26|6,0|6,0|?
RITCHEY E|8,31|-10,72|14,0|14,0|?
RITCHEY J|9,88|-12,41|17,0|17,0|?
RITCHEY M|9,47|-12,39|8,0|8,0|?
RITCHEY N|10,00|-11,16|17,0|17,0|?
RITTER|19,17|1,96|31,0|31,0|1300
Ritter 1|18,21|3,04|0,0|0,0|?
RITTER B|18,93|3,25|14,0|14,0|?
RITTER C|18,86|2,75|14,0|14,0|?
RITTER D|18,74|3,65|7,0|7,0|?
ROBERT|27,45|19,03|0,6|0,6|
ROBINSON|-46,03|59,06|25,0|25,0|1370
ROCCA|-72,89|-12,89|91,0|91,0|?
ROCCA A|-70,32|-13,76|63,0|63,0|?
ROCCA B|-67,46|-12,58|25,0|25,0|?
ROCCA C|-70,33|-10,70|19,0|19,0|?
ROCCA D|-68,09|-11,02|24,0|24,0|?
Rocca D 1|-66,39|-11,48|0,0|0,0|?
Rocca D 2|-66,61|-10,66|0,0|0,0|?
Rocca D 3|-66,29|-10,25|0,0|0,0|?
Rocca D 4|-66,68|-10,14|0,0|0,0|?
Rocca D 5|-66,22|-10,08|0,0|0,0|?
Rocca D 6|-66,06|-9,67|0,0|0,0|?
ROCCA E|-69,59|-11,75|43,0|43,0|?
ROCCA F|-66,72|-13,63|27,0|27,0|?
ROCCA G|-65,02|-13,32|23,0|23,0|?
ROCCA H|-65,53|-12,92|26,0|26,0|?
ROCCA J|-74,03|-14,97|13,0|13,0|?
ROCCA L|-72,74|-14,05|17,0|17,0|?
ROCCA M|-70,89|-14,57|42,0|42,0|?
ROCCA N|-70,33|-11,66|24,0|24,0|?
ROCCA P|-71,89|-11,12|32,0|32,0|?
ROCCA Q|-69,14|-15,29|59,0|59,0|?
ROCCA R|-73,13|-11,17|46,0|46,0|?
ROCCA S|-71,64|-10,25|10,0|10,0|?
ROCCA T|-71,14|-9,76|16,0|16,0|?
ROCCA W|-66,52|-10,26|102,0|102,0|?
ROCCA Z|-75,54|-16,23|55,0|55,0|?
Roemer J 1|38,89|22,27|2,0|2,0|?
ROMER|36,41|25,43|40,0|40,0|3400
ROMER A|37,13|28,10|35,0|35,0|?
ROMER B|38,11|28,50|20,0|20,0|?
ROMER C|37,06|27,66|8,0|8,0|?
ROMER D|35,81|24,51|13,0|13,0|?
ROMER E|39,18|28,48|31,0|31,0|?
ROMER F|37,25|27,19|22,0|22,0|?
ROMER G|36,24|26,82|14,0|14,0|?
ROMER H|35,72|25,95|6,0|6,0|?
ROMER J|37,95|22,38|8,0|8,0|?
ROMER M|34,61|25,29|10,0|10,0|?
ROMER N|37,97|25,31|26,0|26,0|?
ROMER P|39,81|26,54|61,0|61,0|?
ROMER R|34,45|24,15|42,0|42,0|?
ROMER S|36,79|24,91|44,0|44,0|?
ROMER T|36,17|23,82|47,0|47,0|?
ROMER U|39,15|24,28|28,0|28,0|?
ROMER V|38,64|24,43|28,0|28,0|?
ROMER W|40,41|26,44|7,0|7,0|?
ROMER X|40,12|24,29|22,0|22,0|?
ROMER Y|36,31|25,76|7,0|7,0|?
ROMER Z|37,05|24,13|12,0|12,0|?
RONTGEN A|-88,18|36,91|18,8|18,8|
RONTGEN B|-88,21|35,72|17,6|17,6|
ROSA|-32,30|20,31|0,8|0,8|
ROSENBERGER|43,15|-55,49|96,0|96,0|2500
ROSENBERGER A|47,17|-53,65|49,0|49,0|?
ROSENBERGER B|46,21|-52,06|33,0|33,0|?
ROSENBERGER C|42,20|-52,28|47,0|47,0|?
ROSENBERGER D|43,04|-57,60|50,0|50,0|?
ROSENBERGER E|43,15|-59,43|11,0|11,0|?
ROSENBERGER F|40,60|-56,09|6,0|6,0|?
ROSENBERGER G|41,45|-53,99|9,0|9,0|?
ROSENBERGER H|46,47|-54,98|12,0|12,0|?
ROSENBERGER J|43,26|-53,04|22,0|22,0|?
ROSENBERGER K|47,58|-54,53|18,0|18,0|?
ROSENBERGER L|44,67|-52,69|9,0|9,0|?
ROSENBERGER N|44,13|-54,48|8,0|8,0|?
ROSENBERGER S|42,69|-56,04|14,0|14,0|?
ROSENBERGER T|43,22|-56,71|8,0|8,0|?
ROSENBERGER W|42,65|-58,86|32,0|32,0|?
ROSS|21,74|11,67|27,0|27,0|1800
ROSS B|20,17|11,38|6,0|6,0|?
ROSS D|23,32|12,57|9,0|9,0|?
Ross D 1|24,34|12,12|0,0|0,0|?
Ross D 2|24,44|13,12|0,0|0,0|?
Ross F 1|24,07|11,24|8,0|4,5|?
ROSSE|34,98|-17,95|12,0|12,0|2400
ROST|-33,84|-56,42|50,0|50,0|2000
ROST A|-36,84|-56,62|39,0|39,0|?
ROST B|-36,30|-54,68|21,0|21,0|?
ROST D|-31,00|-56,63|29,0|29,0|?
ROST M|-31,52|-55,50|26,0|26,0|?
ROST N|-33,22|-57,29|6,0|6,0|?
ROTHMANN|27,70|-30,81|41,0|41,0|4200
Rothmann 1|24,16|-28,69|0,0|0,0|?
Rothmann 2|23,48|-28,55|0,0|0,0|?
Rothmann 3|23,63|-28,29|0,0|0,0|?
ROTHMANN A|27,59|-29,46|8,0|8,0|?
ROTHMANN B|28,42|-31,82|21,0|21,0|?
ROTHMANN C|25,01|-28,64|19,0|19,0|?
Rothmann C 1|24,72|-29,21|8,0|8,0|380
ROTHMANN D|22,78|-28,97|14,0|14,0|?
ROTHMANN E|29,19|-32,94|10,0|10,0|?
ROTHMANN F|28,01|-29,19|7,0|7,0|?
ROTHMANN G|24,39|-28,39|92,0|92,0|?
ROTHMANN H|25,40|-29,16|11,0|11,0|?
ROTHMANN J|25,73|-29,39|8,0|8,0|?
ROTHMANN K|24,36|-28,86|6,0|6,0|?
ROTHMANN L|28,67|-29,22|14,0|14,0|?
ROTHMANN M|29,84|-31,24|16,0|16,0|?
ROTHMANN W|26,57|-30,87|11,0|11,0|?
RUMKER E|-57,14|38,64|7,0|7,0|?
RUNGE|86,81|-2,43|39,0|39,0|
RUPES ALTAI|23,12|-24,32|480,0|0,0|1000
RUPES BORIS|-33,60|30,67|8,6|8,6|
RUPES CAUCHY|37,08|9,31|120,0|0,0|?
RUPES KELVIN|-33,17|-28,03|150,0|0,0|?
RUPES LIEBIG|-45,92|-25,14|180,0|0,0|?
RUPES MERCATOR|-22,84|-30,21|180,0|0,0|?
RUPES RECTA|-7,70|-21,67|110,0|0,0|300
RUPES TOSCANELLI|-47,53|26,97|70,0|0,0|?
RUSSELL|-75,55|26,51|100,0|103,0|?
RUSSELL B|-78,30|26,39|19,0|19,0|?
RUSSELL E|-74,58|28,60|9,0|9,0|?
RUSSELL F|-76,57|28,09|9,0|9,0|?
RUSSELL R|-75,43|28,92|45,0|45,0|?
RUSSELL S|-77,10|29,34|25,0|25,0|?
RUTHERFURD|-12,25|-61,15|55,0|55,0|2900
RUTHERFURD A|-11,99|-62,31|10,0|10,0|?
RUTHERFURD B|-11,58|-62,57|6,0|6,0|?
RUTHERFURD C|-10,90|-62,54|14,0|14,0|?
RUTHERFURD D|-8,96|-63,32|8,0|8,0|?
RUTHERFURD E|-8,38|-62,83|9,0|9,0|?
SABATIER|79,01|13,19|10,0|10,0|?
SABINE|20,07|1,38|30,0|30,0|1500
SACROBOSCO|16,64|-23,75|98,0|98,0|3500
SACROBOSCO A|16,12|-24,10|17,7|17,7|1830
SACROBOSCO B|16,89|-24,04|14,4|14,4|1210
SACROBOSCO D|17,80|-21,67|24,0|24,0|?
SACROBOSCO E|17,69|-26,11|13,0|13,0|?
SACROBOSCO F|16,73|-21,16|19,0|19,0|?
SACROBOSCO G|16,15|-20,70|20,0|20,0|?
SACROBOSCO H|18,68|-23,72|13,0|13,0|?
SACROBOSCO K|14,69|-22,90|6,0|6,0|?
SACROBOSCO L|15,12|-25,61|9,0|9,0|?
SACROBOSCO M|16,27|-25,30|8,0|8,0|?
SACROBOSCO N|16,56|-27,09|6,0|6,0|?
SACROBOSCO O|16,05|-21,19|6,0|6,0|?
SACROBOSCO Q|17,39|-21,66|42,0|42,0|?
SACROBOSCO R|15,78|-22,32|21,0|21,0|?
SACROBOSCO S|17,98|-26,60|19,0|19,0|?
SACROBOSCO T|16,83|-24,94|12,0|12,0|?
SACROBOSCO X|16,27|-26,63|23,0|23,0|?
SAMIR|-34,29|28,50|1,9|1,9|
SANTBECH|44,06|-20,99|65,0|65,0|4500
SANTBECH A|42,29|-24,27|25,0|25,0|?
SANTBECH B|41,57|-24,74|16,0|16,0|?
SANTBECH C|39,51|-22,29|18,0|18,0|?
Santbech C 1|41,20|-22,40|4,1|4,1|?
Santbech C 2|40,69|-22,33|5,5|5,5|?
Santbech C 3|41,01|-22,09|9,0|9,0|?
SANTBECH D|45,14|-21,14|8,0|8,0|?
SANTBECH E|44,84|-22,42|12,0|12,0|?
Santbech E 1|46,14|-22,33|0,0|0,0|?
SANTBECH F|41,94|-25,61|13,0|13,0|?
SANTBECH H|42,88|-20,47|10,0|10,0|?
Santbech H 1|41,20|-20,73|9,0|9,0|?
Santbech H 2|41,33|-19,63|0,0|0,0|?
SANTBECH J|43,39|-19,74|14,0|14,0|?
SANTBECH K|43,12|-19,23|10,0|10,0|?
SANTBECH L|39,46|-21,37|8,0|8,0|?
SANTBECH M|39,36|-20,47|13,0|13,0|?
Santbech M 1|40,95|-20,98|9,0|9,0|?
Santbech M 2|40,76|-20,12|4,0|4,0|?
Santbech M 3|39,64|-20,12|9,6|9,6|?
SANTBECH N|39,66|-20,83|13,0|13,0|?
SANTBECH P|40,00|-21,42|9,0|9,0|?
SANTBECH Q|38,96|-23,22|12,0|12,0|?
SANTBECH S|39,08|-23,53|10,0|10,0|?
SANTBECH U|38,83|-24,03|9,0|9,0|?
SANTBECH V|39,33|-24,68|7,0|7,0|?
SANTBECH W|40,69|-24,38|13,0|13,0|?
SANTBECH X|42,46|-25,18|7,0|7,0|?
SANTBECH Y|42,94|-25,32|8,0|8,0|?
SANTOS-DUMONT|4,75|27,79|8,0|8,0|?
SASSERIDES|-9,44|-39,28|91,0|91,0|?
SASSERIDES A|-7,11|-39,98|48,0|48,0|?
SASSERIDES B|-11,23|-39,52|9,0|9,0|?
SASSERIDES D|-6,46|-36,78|11,0|11,0|?
SASSERIDES E|-7,72|-38,96|8,0|8,0|?
SASSERIDES F|-9,96|-40,52|16,0|16,0|?
SASSERIDES H|-10,94|-39,27|12,0|12,0|?
SASSERIDES K|-7,39|-38,97|8,0|8,0|?
SASSERIDES M|-7,06|-37,98|11,0|11,0|?
SASSERIDES N|-7,06|-38,72|7,0|7,0|?
SASSERIDES P|-10,81|-38,04|21,0|21,0|?
SASSERIDES S|-8,08|-38,75|15,0|15,0|?
SAUNDER|8,72|-4,26|45,0|45,0|?
SAUNDER A|12,26|-4,01|8,0|8,0|?
SAUNDER B|9,81|-3,93|6,0|6,0|?
SAUNDER T|10,39|-4,07|6,0|6,0|?
SAUSSURE|-3,88|-43,38|55,0|55,0|1900
SAUSSURE A|-0,54|-43,82|19,0|19,0|?
SAUSSURE C|-0,68|-44,86|16,0|16,0|?
SAUSSURE CA|-0,59|-45,30|16,0|16,0|?
SAUSSURE D|0,15|-47,01|20,0|20,0|?
SAUSSURE E|-2,16|-44,67|12,0|12,0|?
SCARP|30,60|20,30|8,0|8,0|
SCHEINER|-27,81|-60,35|111,0|111,0|4000
SCHEINER A|-28,28|-60,49|12,0|12,0|?
SCHEINER B|-33,57|-59,70|29,0|29,0|?
SCHEINER C|-30,93|-60,13|13,0|13,0|?
SCHEINER D|-32,30|-60,72|17,0|17,0|?
SCHEINER E|-29,33|-63,22|24,0|24,0|?
SCHEINER F|-25,26|-56,89|6,0|6,0|?
SCHEINER G|-28,39|-62,59|14,0|14,0|?
SCHEINER H|-27,46|-56,35|9,0|9,0|?
SCHEINER J|-28,83|-59,76|12,0|12,0|?
SCHEINER K|-26,08|-58,05|7,0|7,0|?
SCHEINER L|-35,22|-65,87|9,0|9,0|?
SCHEINER M|-33,45|-65,77|10,0|10,0|?
SCHEINER P|-31,16|-62,56|11,0|11,0|?
SCHEINER Q|-28,90|-58,79|8,0|8,0|?
SCHEINER R|-24,27|-57,99|8,0|8,0|?
SCHEINER S|-25,33|-58,39|7,0|7,0|?
SCHEINER T|-34,95|-60,96|12,0|12,0|?
SCHEINER U|-36,31|-60,96|7,0|7,0|?
SCHEINER W|-37,66|-60,37|6,0|6,0|?
SCHEINER X|-24,86|-59,58|7,0|7,0|?
SCHEINER Y|-25,39|-59,13|9,0|9,0|?
SCHIAPARELLI|-58,82|23,38|25,0|25,0|2090
SCHIAPARELLI A|-62,10|22,97|7,0|7,0|?
SCHIAPARELLI C|-62,22|25,83|6,0|6,0|?
SCHICKARD|-55,11|-44,38|227,0|227,0|1300
Schickard 1|-52,90|-44,59|9,0|11,0|?
SCHICKARD A|-53,71|-46,87|14,0|14,0|?
SCHICKARD B|-52,25|-43,74|13,0|13,0|?
SCHICKARD C|-56,00|-45,86|13,0|13,0|?
SCHICKARD D|-57,72|-45,77|9,0|9,0|?
SCHICKARD E|-51,67|-47,28|32,0|32,0|?
SCHICKARD F|-53,86|-48,00|17,0|17,0|?
SCHICKARD G|-58,98|-43,04|12,0|12,0|?
SCHICKARD H|-62,34|-43,52|16,0|16,0|?
SCHICKARD J|-62,44|-45,01|11,0|11,0|?
SCHICKARD K|-63,90|-43,86|16,0|16,0|?
SCHICKARD L|-59,80|-44,12|7,0|7,0|?
SCHICKARD M|-58,98|-44,19|7,0|7,0|?
SCHICKARD N|-54,69|-41,30|6,0|6,0|?
SCHICKARD P|-48,50|-42,91|92,0|92,0|?
SCHICKARD S|-56,80|-46,66|15,0|15,0|?
SCHICKARD W|-58,19|-45,12|7,0|7,0|?
SCHICKARD X|-51,26|-43,55|8,0|8,0|?
SCHILLER|-39,78|-51,72|179,0|179,0|3900
SCHILLER A|-37,65|-47,18|11,0|11,0|?
SCHILLER B|-39,15|-48,87|17,0|17,0|?
SCHILLER C|-49,31|-55,37|49,0|49,0|?
SCHILLER D|-49,36|-55,08|8,0|8,0|?
SCHILLER E|-48,80|-54,59|7,0|7,0|?
SCHILLER F|-42,99|-50,66|12,0|12,0|?
SCHILLER G|-38,30|-51,24|10,0|10,0|?
SCHILLER H|-37,74|-50,60|66,0|66,0|?
SCHILLER J|-36,69|-49,64|9,0|9,0|?
SCHILLER K|-38,77|-46,70|11,0|11,0|?
SCHILLER L|-40,23|-47,12|11,0|11,0|?
SCHILLER M|-41,26|-48,22|9,0|9,0|?
SCHILLER N|-41,98|-53,63|6,0|6,0|?
SCHILLER P|-43,66|-53,58|7,0|7,0|?
SCHILLER R|-45,87|-52,25|6,0|6,0|?
SCHILLER S|-40,42|-54,95|17,0|17,0|?
SCHILLER T|-41,29|-50,77|6,0|6,0|?
SCHILLER W|-40,97|-54,47|16,0|16,0|?
SCHLUTER|-83,39|-5,93|89,0|89,0|?
SCHLUTER A|-82,57|-9,22|37,0|37,0|?
SCHLUTER P|-85,21|0,05|20,0|20,0|?
SCHLUTER S|-90,04|-7,90|13,0|13,0|?
SCHLUTER U|-90,01|-5,06|10,0|10,0|?
SCHLUTER V|-86,97|-4,41|12,0|12,0|?
SCHLUTER X|-88,30|1,17|13,0|13,0|?
SCHLUTER Z|-83,85|-2,87|11,0|11,0|?
SCHMIDT|18,78|0,96|12,0|12,0|2300
SCHOMBERGER|24,69|-76,64|86,0|86,0|?
SCHOMBERGER A|23,52|-78,61|31,0|31,0|?
SCHOMBERGER C|15,45|-77,17|43,0|43,0|?
SCHOMBERGER D|24,22|-73,38|24,0|24,0|?
SCHOMBERGER F|20,17|-80,18|11,0|11,0|?
SCHOMBERGER G|7,43|-77,01|17,0|17,0|?
SCHOMBERGER H|3,60|-77,26|17,0|17,0|?
SCHOMBERGER J|19,31|-78,98|9,0|9,0|?
SCHOMBERGER K|13,56|-79,28|9,0|9,0|?
SCHOMBERGER L|17,27|-80,69|17,0|17,0|?
SCHOMBERGER X|34,41|-75,13|8,0|8,0|?
SCHOMBERGER Y|28,54|-74,44|17,0|17,0|?
SCHORR A|88,16|-20,38|64,0|64,0|?
SCHORR B|88,42|-16,61|26,0|26,0|?
SCHORR C|88,20|-13,43|13,0|13,0|?
SCHROTER|-6,98|2,74|35,0|35,0|?
SCHROTER C|-9,79|8,26|8,0|8,0|?
SCHROTER F|-5,89|7,41|34,0|34,0|?
SCHROTER J|-6,12|8,51|6,0|6,0|?
SCHROTER W|-7,74|4,83|10,1|10,1|610
SCHUBERT|81,01|2,78|55,0|55,0|?
SCHUBERT C|84,64|1,94|31,0|31,0|?
SCHUBERT E|78,43|4,25|27,0|27,0|?
SCHUBERT F|77,87|3,29|35,0|35,0|?
SCHUBERT G|75,34|4,19|56,0|56,0|?
SCHUBERT H|76,03|1,64|31,0|31,0|?
SCHUBERT J|78,94|-0,01|20,0|20,0|?
SCHUBERT K|75,88|2,41|29,0|29,0|?
SCHUBERT N|72,65|1,79|75,0|75,0|?
SCHUBERT X|76,75|0,31|51,0|51,0|?
SCHUMACHER|60,81|42,42|61,0|61,0|?
SCHUMACHER B|59,35|42,18|24,0|24,0|?
SCHWABE|45,48|65,10|25,0|25,0|?
SCHWABE C|46,95|67,74|29,0|29,0|?
SCHWABE D|44,78|64,68|17,0|17,0|?
SCHWABE E|43,43|64,14|19,0|19,0|?
SCHWABE F|50,15|66,45|20,0|20,0|?
SCHWABE G|42,01|65,50|15,0|15,0|?
SCHWABE K|49,23|67,70|9,0|9,0|?
SCHWABE U|57,06|66,57|17,0|17,0|?
SCHWABE W|52,52|69,62|9,0|9,0|?
SCHWABE X|56,60|68,33|8,0|8,0|?
SCORESBY|14,13|77,73|56,0|56,0|2400
SCORESBY K|2,95|76,35|23,0|23,0|?
SCORESBY M|8,15|75,57|54,0|54,0|?
SCORESBY P|12,78|75,89|26,0|26,0|?
SCORESBY Q|8,81|77,48|40,0|40,0|?
SCORESBY W|11,14|74,38|10,0|10,0|?
SCOTT|48,52|-82,35|108,0|108,0|?
SCOTT E|35,70|-81,17|28,0|28,0|?
SCOTT M|34,74|-83,86|16,0|16,0|?
SCULPTURED HILLS|31,00|20,30|8,0|8,0|
SECCHI|43,56|2,40|25,0|25,0|1900
Secchi 1|45,24|0,86|15,0|15,0|?
SECCHI G|44,57|3,94|8,0|8,0|?
SECCHI U|42,19|1,08|6,0|6,0|?
SECCHI X|43,67|-0,77|6,0|6,0|?
SEELIGER|3,00|-2,22|8,0|8,0|1800
Seeliger 1|2,58|-1,89|2,0|4,0|?
SEGNER|-48,68|-58,96|68,0|68,0|1300
SEGNER A|-47,03|-57,27|9,0|9,0|?
SEGNER B|-55,94|-57,74|35,0|35,0|?
SEGNER C|-46,20|-57,80|19,0|19,0|?
SEGNER E|-57,00|-57,48|13,0|13,0|?
SEGNER G|-55,57|-56,39|12,0|12,0|?
SEGNER H|-48,61|-58,64|7,0|7,0|?
SEGNER K|-54,46|-56,17|10,0|10,0|?
SELEUCUS|-66,66|21,09|43,0|43,0|2290
SELEUCUS A|-60,52|22,04|6,0|6,0|?
SENECA|79,81|26,71|53,0|53,0|?
SENECA A|75,07|26,28|17,0|17,0|?
SENECA B|77,01|27,17|28,0|28,0|?
SENECA C|74,48|26,32|22,0|22,0|?
SENECA D|81,29|26,71|18,0|18,0|?
SENECA E|79,71|29,32|16,0|16,0|?
SENECA F|81,93|29,63|15,0|15,0|?
SENECA G|83,23|29,48|19,0|19,0|?
SHAKESPEARE|30,80|20,20|0,7|0,7|
SHAPLEY|56,83|9,35|23,0|23,0|?
SHARP|-40,22|45,75|40,0|40,0|3200
SHARP A|-42,67|47,62|17,0|17,0|?
SHARP APOLLO|-23,40|-3,20|0,0|0,0|
SHARP B|-45,35|47,01|21,0|21,0|?
SHARP D|-42,17|44,83|8,0|8,0|?
SHARP J|-38,06|46,96|6,0|6,0|?
SHARP L|-38,23|45,78|6,0|6,0|?
SHARP U|-48,68|47,41|6,0|6,0|?
SHARP V|-47,06|46,23|7,0|7,0|?
SHEEPSHANKS|17,04|59,24|25,0|25,0|1990
SHEEPSHANKS A|18,96|60,00|7,0|7,0|?
